listing_id,make,model,year,variant,price,currency,mileage,location,listing_url,thumbnail_url,created_at
_Ua2QsQW3,Toyota,Highlander,2012,,,,,,https://autochek.africa/ng/car/Toyota-Highlander-ref-_Ua2QsQW3,,
BAZ8UQt5b,Toyota,corolla,2020,,,,,,https://autochek.africa/ng/car/Toyota-corolla-ref-BAZ8UQt5b,,
M_F50qtj3,RANGE,ROVER,2018,HSE LR4,,,,,https://autochek.africa/ng/car/RANGE-ROVER-HSE-LR4-ref-M_F50qtj3,,
Pg_kzZSL-,Toyota,Highlander,2012,,,,,,https://autochek.africa/ng/car/Toyota-Highlander-ref-Pg_kzZSL-,,
OZieZILwN,Toyota,corolla,2007,,,,,,https://autochek.africa/ng/car/Toyota-corolla-ref-OZieZILwN,,
A6JxmMLVy,Toyota,Sienna,2009,,,,,,https://autochek.africa/ng/car/Toyota-Sienna-ref-A6JxmMLVy,,
OIBvAatsb,Toyota,corolla,2022,,,,,,https://autochek.africa/ng/car/Toyota-corolla-ref-OIBvAatsb,,
W13fv8qec,Toyota,Avalon,2020,,,,,,https://autochek.africa/ng/car/Toyota-Avalon-ref-W13fv8qec,,
Zw6PTDMuS,Lexus,RX,2015,350,,,,,https://autochek.africa/ng/car/Lexus-RX-350-ref-Zw6PTDMuS,,
kgG70B-al,Lexus,ES,2015,350,,,,,https://autochek.africa/ng/car/Lexus-ES-350-ref-kgG70B-al,,
J194TTO_g,Lexus,GX,2022,460,,,,,https://autochek.africa/ng/car/Lexus-GX-460-ref-J194TTO_g,,
xol4BrEzv,Lexus,RX,2005,330,,,,,https://autochek.africa/ng/car/Lexus-RX-330-ref-xol4BrEzv,,
qnG00naeL,Toyota,corolla,2014,,,,,,https://autochek.africa/ng/car/Toyota-corolla-ref-qnG00naeL,,
L_vo-6EUx,Lexus,ES,2007,350,,,,,https://autochek.africa/ng/car/Lexus-ES-350-ref-L_vo-6EUx,,
RjqCVZU7z,Toyota,Camry,2017,,,,,,https://autochek.africa/ng/car/Toyota-Camry-ref-RjqCVZU7z,,
aXcB_Uf-1,Honda,Accord,2009,,,,,,https://autochek.africa/ng/car/Honda-Accord-ref-aXcB_Uf-1,,
cftxBgd1Z,Mercedes-Benz,G,2022,63 AMG,,,,,https://autochek.africa/ng/car/Mercedes-Benz-G-63-AMG-ref-cftxBgd1Z,,
AhoPf2Fyr,Acura,MDX,2008,,,,,,https://autochek.africa/ng/car/Acura-MDX-ref-AhoPf2Fyr,,
DBLn1FlDW,Mercedes-Benz,ML,2012,350,,,,,https://autochek.africa/ng/car/Mercedes-Benz-ML-350-ref-DBLn1FlDW,,
p3XeEPbw9,Lexus,ES,2007,350,,,,,https://autochek.africa/ng/car/Lexus-ES-350-ref-p3XeEPbw9,,
gnuxueeUC,Toyota,Lexus,2013,RX 350h,,,,,https://autochek.africa/ng/car/Toyota-Lexus-RX-350h-ref-gnuxueeUC,,
bE4cUu2AL,Lexus,RX,2005,330,,,,,https://autochek.africa/ng/car/Lexus-RX-330-ref-bE4cUu2AL,,
3U5N-cOjo,Toyota,Highlander,2008,,,,,,https://autochek.africa/ng/car/Toyota-Highlander-ref-3U5N-cOjo,,
vNVq6GMzO,Toyota,RAV,2014,4,,,,,https://autochek.africa/ng/car/Toyota-RAV-4-ref-vNVq6GMzO,,
N-sCfmyt7,Toyota,Lexus,2016,RX 350h,,,,,https://autochek.africa/ng/car/Toyota-Lexus-RX-350h-ref-N-sCfmyt7,,
9zypqfgUR,Mercedes-Benz,GLE,2019,350,,,,,https://autochek.africa/ng/car/Mercedes-Benz-GLE-350-ref-9zypqfgUR,,
SPcJg8ntO,Mercedes-Benz,GLK,2015,350,,,,,https://autochek.africa/ng/car/Mercedes-Benz-GLK-350-ref-SPcJg8ntO,,
lTuyMqNnz,Hyundai,Sonata,2014,,,,,,https://autochek.africa/ng/car/Hyundai-Sonata-ref-lTuyMqNnz,,
sMi78KHK3,Mercedes-Benz,GLA,2015,250,,,,,https://autochek.africa/ng/car/Mercedes-Benz-GLA-250-ref-sMi78KHK3,,
6OZ0qqjWW,Toyota,Highlander,2019,,,,,,https://autochek.africa/ng/car/Toyota-Highlander-ref-6OZ0qqjWW,,
CPlZP1gos,Toyota,Rav4,2012,,,,,,https://autochek.africa/ng/car/Toyota-Rav4-ref-CPlZP1gos,,
eX-libMhx,Toyota,Camry,2005,,,,,,https://autochek.africa/ng/car/Toyota-Camry-ref-eX-libMhx,,
wwYf-op5i,Toyota,camry,2018,,,,,,https://autochek.africa/ng/car/Toyota-camry-ref-wwYf-op5i,,
UjW0Wg6G4,Ford,Edge,2015,,,,,,https://autochek.africa/ng/car/Ford-Edge-ref-UjW0Wg6G4,,
S9-Cbgr5X,Lexus,ES,2013,350,,,,,https://autochek.africa/ng/car/Lexus-ES-350-ref-S9-Cbgr5X,,
pzjhZeQN9,Hyundai,Sonata,2012,,,,,,https://autochek.africa/ng/car/Hyundai-Sonata-ref-pzjhZeQN9,,
aWialyfFQ,Toyota,Highlander,2022,,,,,,https://autochek.africa/ng/car/Toyota-Highlander-ref-aWialyfFQ,,
jRprjxVkn,Toyota,Highlander,2012,,,,,,https://autochek.africa/ng/car/Toyota-Highlander-ref-jRprjxVkn,,
G9KGzwwEn,Honda,Pilot,2011,,,,,,https://autochek.africa/ng/car/Honda-Pilot-ref-G9KGzwwEn,,
0VK2FPtd9,Lexus,ES,2007,350,,,,,https://autochek.africa/ng/car/Lexus-ES-350-ref-0VK2FPtd9,,
ncGKT0Dso,Toyota,Sienna,2011,,,,,,https://autochek.africa/ng/car/Toyota-Sienna-ref-ncGKT0Dso,,
35doDj7rK,Mercedes-Benz,GLE,2016,450,,,,,https://autochek.africa/ng/car/Mercedes-Benz-GLE-450-ref-35doDj7rK,,
EkVdqsUyS,Toyota,C-HR,2017,,,,,,https://autochek.africa/ng/car/Toyota-C-HR-ref-EkVdqsUyS,,
uofquOiFd,Lexus,RX,2013,350,,,,,https://autochek.africa/ng/car/Lexus-RX-350-ref-uofquOiFd,,
jYMXhf3pH,Toyota,Corolla,2013,,,,,,https://autochek.africa/ng/car/Toyota-Corolla-ref-jYMXhf3pH,,
